1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.93878	0.99991	1	0.99991	1	1	1	1	1	1	1	0.99945	0.99586	0.99991	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	3.377e-05	0.93188	1	0.93188	1	1	1	1	1	1	1	0.71653	0.20515	0.93188	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.93878	0.99991	1	0.99991	1	1	1	1	1	1	1	0.99945	0.99586	0.99991	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.93878	0.99991	1	0.99991	1	1	1	1	1	1	1	0.99945	0.99586	0.99991	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.63283	0.99908	1	0.99908	1	1	1	1	1	1	1	0.99463	0.963	0.99908	1	1	1	1	1
1	0.18632	0.99494	1	0.99494	1	1	1	1	1	1	1	0.97211	0.83725	0.99494	1	1	1	1	1
1	0.93878	0.99991	1	0.99991	1	1	1	1	1	1	1	0.99945	0.99586	0.99991	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.93878	0.99991	1	0.99991	1	1	1	1	1	1	1	0.99945	0.99586	0.99991	1	1	1	1	1
